Community,Humidity,LGA,Latitude,Longitude,Month,NDVI,PopulationDensity,Rainfall,Temperature,Year,Month_Num,prevalence
Ajegunle,77.08949202328728,Ajeromi-Ifelodun,6.4531,3.3398,2021-02,0.10665,52191.71094,26.916789531707764,28.22998351596658,2021,2,20.833450591334863
Amukoko,83.62097496220595,Ajeromi-Ifelodun,6.4467,3.3332,2021-02,0.135,11885.57422,29.33276605606079,27.283807373046898,2021,2,20.415820912628938
Ijora,77.08949202328728,Ajeromi-Ifelodun,6.4603,3.3465,2021-02,0.15935,43028.61719,26.916789531707764,28.22998351596658,2021,2,19.051040441266316
Alayabiagba,77.08949202328728,Ajeromi-Ifelodun,6.4505,3.3278,2021-02,0.07655,68957.99219,26.916789531707764,28.22998351596658,2021,2,18.742646330612526
Tolu,77.08949202328728,Ajeromi-Ifelodun,6.4558,3.3421,2021-02,0.10375,37231.81641,26.916789531707764,28.22998351596658,2021,2,23.62319992987656
Ipaja,75.94995443,Alimosho,6.6167,3.2583,2021-02,0.24775,12306.83789,19.558879375457764,28.196094472067728,2021,2,23.27875005290874
Egbeda,75.94995443,Alimosho,6.6056,3.2654,2021-02,0.10565,18111.0625,19.558879375457764,28.196094472067728,2021,2,24.04551703847527
Idimu,75.94995443,Alimosho,6.6278,3.2701,2021-02,0.17105,15481.80957,19.558879375457764,28.196094472067728,2021,2,25.20917108410565
Akowonjo,75.94995443,Alimosho,6.6112,3.2527,2021-02,0.20935,16352.66016,19.558879375457764,28.196094472067728,2021,2,25.310129863359965
Abule Egba,77.16580843281939,Alimosho,6.6223,3.2478,2021-02,0.22185,7288.07666,20.88465785980225,27.999000326792384,2021,2,23.825368824965985
Festac Town,77.08949202328728,Amuwo-Odofin,6.4667,3.2833,2021-02,0.22,6223.310059,26.20251631736756,28.22998351596658,2021,2,26.732398123370988
Satellite Town,77.08949202328728,Amuwo-Odofin,6.4503,3.2665,2021-02,0.2607,6147.958008,26.20251631736756,28.22998351596658,2021,2,24.470517327105018
Kirikiri,77.08949202328728,Amuwo-Odofin,6.4601,3.3002,2021-02,0.2733,9774.135742,26.20251631736756,28.22998351596658,2021,2,24.940764965927254
Ijegun,77.08949202328728,Amuwo-Odofin,6.4725,3.2754,2021-02,0.1506,6560.378906,26.20251631736756,28.22998351596658,2021,2,27.552772970494026
Agboju,77.08949202328728,Amuwo-Odofin,6.4556,3.2908,2021-02,0.23965,5521.639648,26.20251631736756,28.22998351596658,2021,2,24.320364254791713
Apapa Wharf,77.53392859258197,Apapa,6.4389,3.3667,2021-02,0.08975,6621.325195,29.11852502822876,28.355425294240376,2021,2,23.80144045030134
Ijora Oloye,77.53392859258197,Apapa,6.4456,3.3554,2021-02,0.2044,10538.95508,29.11852502822876,28.355425294240376,2021,2,25.88243109569467
Olodi,77.53392859258197,Apapa,6.4321,3.3602,2021-02,0.0441,2067.273926,29.11852502822876,28.355425294240376,2021,2,22.51197327355986
Tincan Island,83.62097496220595,Apapa,6.4278,3.3501,2021-02,0.1301,1358.343505859375,29.33276605606079,27.283807373046898,2021,2,21.75384407
Sari Iganmu,77.53392859258197,Apapa,6.4403,3.3705,2021-02,0.07325,6621.325195,29.11852502822876,28.355425294240376,2021,2,23.83386330994563
Badagry Town,79.24102989065433,Badagry,6.4167,2.8833,2021-02,0.2795,1841.502441,38.63358426094055,28.166283157893588,2021,2,25.896532083251998
Topo,79.24102989065433,Badagry,6.4002,2.8701,2021-02,0.09,581.0872192382812,126.1106457710266,28.166283157893588,2021,2,22.91205852781475
Ajido,79.24102989065433,Badagry,6.4256,2.8954,2021-02,0.4709,1825.1571044921875,38.63358426094055,28.166283157893588,2021,2,23.987315301257507
Iworo,79.24102989065433,Badagry,6.4103,2.8608,2021-02,0.6466000000000001,781.3859863,38.63358426094055,28.166283157893588,2021,2,25.821556722631016
Seme,79.24102989065433,Badagry,6.4301,2.9056,2021-02,0.3982,1364.1773681640625,34.50813317298889,28.166283157893588,2021,2,25.426623125003466
Epe Town,77.02086305807168,Epe,6.5833,3.9833,2021-02,0.186025,2684.831543,27.787091493606567,28.091256418682235,2021,2,26.609070973552388
Ejinrin,77.02086305807168,Epe,6.5701,3.9702,2021-02,0.43125,183.76519775390625,27.787091493606567,28.091256418682235,2021,2,26.56157592383333
Ise,77.02086305807168,Epe,6.5954,3.9956,2021-02,0.11375,1798.640137,27.787091493606567,28.091256418682235,2021,2,24.34611488165796
Odomola,77.02086305807168,Epe,6.5608,3.9603,2021-02,0.3576,326.5197754,27.787091493606567,28.091256418682235,2021,2,26.271039507288968
Agbowa,77.02086305807168,Epe,6.5756,3.9754,2021-02,0.07095,1856.0240478515625,27.787091493606567,28.091256418682235,2021,2,25.319212076535134
Victoria Island,77.53392859258197,Eti-Osa,6.4286,3.4186,2021-02,0.11955,6075.92627,29.34368324279785,28.355425294240376,2021,2,23.655943556339402
Lekki Phase 1,83.62097496220595,Eti-Osa,6.4167,3.4667,2021-02,0.186025,2812.932617,27.95877170562744,27.283807373046898,2021,2,27.43093256758337
Ikoyi,77.53392859258197,Eti-Osa,6.4444,3.4333,2021-02,0.1021,6226.674316,29.34368324279785,28.355425294240376,2021,2,24.54860748854712
Ajah,83.62097496220595,Eti-Osa,6.4003,3.4832,2021-02,0.186025,2198.556641,126.1106457710266,27.283807373046898,2021,2,24.649073742900676
Sangotedo,83.62097496220595,Eti-Osa,6.3901,3.5005,2021-02,0.186025,1732.330566,126.1106457710266,27.283807373046898,2021,2,26.56177594802057
Ibeju,79.22315496378975,Ibeju-Lekki,6.4667,3.6667,2021-02,0.2434,721.3165893554686,26.364007234573364,28.123930572328103,2021,2,23.995883094915055
Lekki Free Zone,79.22315496378975,Ibeju-Lekki,6.4502,3.6832,2021-02,0.30975,730.3173828,26.364007234573364,28.123930572328103,2021,2,25.855417548977197
Akodo,79.53405647331627,Ibeju-Lekki,6.4756,3.6501,2021-02,0.22745,1351.589844,25.59718036651612,28.09610144751417,2021,2,26.088930977601876
Orimedu,79.22315496378975,Ibeju-Lekki,6.4603,3.6705,2021-02,0.30125,873.1000366210938,26.364007234573364,28.123930572328103,2021,2,24.228129910542467
Eleko,79.53405647331627,Ibeju-Lekki,6.4801,3.6408,2021-02,0.17015,1107.6112060546875,25.59718036651612,28.09610144751417,2021,2,27.53105509535891
Ogba,75.94995443,Ifako-Ijaye,6.6333,3.3333,2021-02,0.1996,12061.75391,20.09146976470948,28.196094472067728,2021,2,25.559588544296304
Iju Ishaga,75.94995443,Ifako-Ijaye,6.6502,3.3201,2021-02,0.1377,28389.60547,20.09146976470948,28.196094472067728,2021,2,25.856334657452205
Ojodu,75.94995443,Ifako-Ijaye,6.6403,3.3405,2021-02,0.1497,11477.36816,20.09146976470948,28.196094472067728,2021,2,28.084979901040413
Alagbado,74.19336588749131,Ifako-Ijaye,6.6601,3.3108,2021-02,0.1209,29026.18164,21.07728123664856,28.19809119360792,2021,2,24.788886381454844
Ijaiye,75.94995443,Ifako-Ijaye,6.6205,3.3254,2021-02,0.11065,18660.7168,20.09146976470948,28.196094472067728,2021,2,23.170653652054387
Maryland,76.59030094910602,Ikeja,6.575,3.365,2021-02,0.1338,25513,23.24722194671631,28.22752467110041,2021,2,23.152265576025105
Oregun,76.59030094910602,Ikeja,6.5667,3.3702,2021-02,0.1316,29538.03516,23.24722194671631,28.22752467110041,2021,2,23.715475344293065
Alausa,75.94995443,Ikeja,6.5833,3.3501,2021-02,0.22305,29430.25586,23.770613193511963,28.196094472067728,2021,2,24.88644863
Ojota,76.59030094910602,Ikeja,6.5603,3.3805,2021-02,0.11655,25997.7793,23.24722194671631,28.22752467110041,2021,2,24.868432991579475
Onigbongbo,76.59030094910602,Ikeja,6.5901,3.3608,2021-02,0.2027,25328.87695,23.24722194671631,28.22752467110041,2021,2,24.630894124098543
Odogunyan,75.44796712073143,Ikorodu,6.6833,3.5167,2021-02,0.28895,3052.742188,25.01878881454468,28.213480772291007,2021,2,25.690639427929206
Igbogbo,75.44796712073143,Ikorodu,6.6702,3.5301,2021-02,0.27305,3572.070801,25.01878881454468,28.213480772291007,2021,2,24.825976274692046
Imota,76.44356620676727,Ikorodu,6.6603,3.5505,2021-02,0.39665,1285.665527,26.66425085067749,28.05146440324341,2021,2,26.489049345189535
Ijede,75.44796712073143,Ikorodu,6.6901,3.5408,2021-02,0.31865,1270.9117431640625,25.01878881454468,28.213480772291007,2021,2,24.77015753437092
Agura,75.44796712073143,Ikorodu,6.6756,3.5203,2021-02,0.18965,3621.723633,25.01878881454468,28.213480772291007,2021,2,28.085572099436327
Ketu,76.59030094910602,Kosofe,6.5833,3.3833,2021-02,0.11905,25533.94531,23.24722194671631,28.22752467110041,2021,2,25.020137335604883
Mile 12,76.59030094910602,Kosofe,6.5702,3.3901,2021-02,0.12995,16760.66211,23.24722194671631,28.22752467110041,2021,2,22.91693337398563
Ojodu Berger,76.59030094910602,Kosofe,6.5903,3.3705,2021-02,0.14855,22570.35742,23.24722194671631,28.22752467110041,2021,2,25.07326000904015
Magodo,76.59030094910602,Kosofe,6.6001,3.3608,2021-02,0.12,28963.81055,21.666523694992065,28.22752467110041,2021,2,25.366448026690936
Alapere,76.59030094910602,Kosofe,6.5656,3.3954,2021-02,0.18,17359.45313,23.24722194671631,28.22752467110041,2021,2,24.623313280959216
Idumota,76.92972392657833,Lagos Island,6.4556,3.4,2021-02,0.23095,15736.19824,25.48698068,28.35768650145764,2021,2,24.187942160625465
Ebute Elefun,76.92972392657833,Lagos Island,6.4503,3.4102,2021-02,0.367,15303.74219,24.273996233940125,28.35768650145764,2021,2,23.898854414140363
Isale Eko,76.92972392657833,Lagos Island,6.4601,3.3954,2021-02,0.25135,10023.75195,25.48698068,28.35768650145764,2021,2,23.476599896168757
Obalende,77.53392859258197,Lagos Island,6.4456,3.4205,2021-02,0.2536,6374.598633,29.34368324279785,28.355425294240376,2021,2,22.70168084
Dolphin Estate,76.92972392657833,Lagos Island,6.4654,3.4056,2021-02,0.011,3760.239013671875,24.273996233940125,28.35768650145764,2021,2,21.800414088559855
Yaba,76.92972392657833,Lagos Mainland,6.5167,3.3833,2021-02,0.12605,17687.57617,23.18651056289673,28.35768650145764,2021,2,22.34413592629536
Ebute Metta,76.92972392657833,Lagos Mainland,6.5002,3.3901,2021-02,0.04615,16753.43164,23.18651056289673,28.35768650145764,2021,2,23.64704967268585
Iwaya,76.92972392657833,Lagos Mainland,6.5103,3.3705,2021-02,0.1063,25421.75391,23.18651056289673,28.35768650145764,2021,2,23.625123679930546
Makoko,76.92972392657833,Lagos Mainland,6.4901,3.4008,2021-02,0.186025,7810.135742,24.273996233940125,28.35768650145764,2021,2,22.848979155479373
Otto,76.92972392657833,Lagos Mainland,6.5205,3.3603,2021-02,0.1442,27635.09375,23.18651056289673,28.35768650145764,2021,2,24.464286172903904
Idi Araba,77.08949202328728,Mushin,6.5333,3.3333,2021-02,0.12235,63879.60156,21.64460515975952,28.22998351596658,2021,2,18.816300731218824
Itire,77.08949202328728,Mushin,6.5202,3.3401,2021-02,0.11915,26604.125,21.64460515975952,28.22998351596658,2021,2,23.593988662347442
Ilupeju,77.08949202328728,Mushin,6.5403,3.3505,2021-02,0.1196,55856.90234,21.64460515975952,28.22998351596658,2021,2,18.584708457435518
Papa Ajao,77.08949202328728,Mushin,6.5301,3.3208,2021-02,0.1924,32508.74414,21.64460515975952,28.22998351596658,2021,2,25.39524024253165
Ladipo,77.08949202328728,Mushin,6.5105,3.3303,2021-02,0.11555,29023.78516,21.64460515975952,28.22998351596658,2021,2,23.338880413213623
Iba,77.99710502927145,Ojo,6.4667,3.2167,2021-02,0.36655,4076.252441,25.22527384757996,28.06078534353356,2021,2,24.744083285138895
Okokomaiko,77.99710502927145,Ojo,6.4502,3.2001,2021-02,0.32185,6108.10791,25.22527384757996,28.06078534353356,2021,2,24.78230610132809
